question,option_a,option_b,option_c,option_d,answer,type
What is the natural source of both heat and light for the Earth?,The Moon,The Sun,Electricity,Fire,option_b,Multiple Choice
What is temperature a measure of?,How heavy an object is,How fast an object moves,How hot or cold an object is,The color of an object,option_c,Multiple Choice
Which instrument is used to measure temperature accurately?,Ruler,Weighing scale,Thermometer,Compass,option_c,Multiple Choice
Why is the sense of touch not a reliable way to measure heat?,It is too fast,It is not accurate,It only works on cold things,It cannot feel heat,option_b,Multiple Choice
What is the normal human body temperature in Celsius?,32°C,37°C,98.4°C,100°C,option_b,Multiple Choice
What happens to the liquid inside a thermometer when it gets warmer?,It freezes,It turns into gas,It expands and rises,It shrinks and drops,option_c,Multiple Choice
On which scale is the freezing point of water 0°C?,Fahrenheit,Kelvin,Celsius,Metric,option_c,Multiple Choice
Which of these is a comfortable room temperature?,0-5°C,20-25°C,50-60°C,98-100°C,option_b,Multiple Choice
How does heat always move between objects?,From cold to hot,From hot to cold,It stays in one place,It only moves upwards,option_b,Multiple Choice
What do we call materials that allow heat to travel through them easily?,Thermal insulators,Thermal conductors,Radiators,Reflectors,option_b,Multiple Choice
Which of the following is a good thermal conductor?,Wood,Plastic,Metal,Wool,option_c,Multiple Choice
Why are saucepan handles often made of plastic or wood?,To make them look better,Because they are conductors,Because they are insulators,To make them heavier,option_c,Multiple Choice
What do we call materials that slow down the movement of heat?,Thermal conductors,Thermal insulators,Thermal radiators,Thermal sensors,option_b,Multiple Choice
Why does a thick woolly coat keep you warm in winter?,It generates its own heat,It traps a layer of air,It reflects the sunlight,It is made of metal,option_b,Multiple Choice
Why is air considered a good insulator?,It moves very fast,It is a gas,It slows down heat transfer,It is always cold,option_c,Multiple Choice
What is the purpose of loft insulation in a house?,To let fresh air in,To keep heat from escaping,To make the roof stronger,To attract sunlight,option_b,Multiple Choice
"If you leave a hot cup of tea on a table,  what temperature will it eventually reach?",Freezing point,Boiling point,Room temperature,Body temperature,option_c,Multiple Choice
